Time_Period,Time_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
1,08:00,0.0,0.0,0.0,0.0,0.0
2,08:15,0.0,0.0,0.0,0.0,0.0
3,08:30,0.0,0.0,0.0,0.0,0.0
4,08:45,0.0,0.0,0.0,0.0,0.0
5,09:00,0.0,0.0,0.0,0.0,0.0
6,09:15,0.0,0.0,0.0,0.0,0.0
7,09:30,0.0,0.0,0.0,0.0,0.0
8,09:45,0.0,0.0,0.0,0.0,0.0
9,10:00,0.0,0.0,0.0,0.0,0.0
10,10:15,0.0,0.0,0.0,0.0,0.0
11,10:30,0.0,0.0,0.0,0.0,0.0
12,10:45,0.0,0.0,0.0,0.0,0.0
13,11:00,0.0,0.0,0.0,0.0,0.0
14,11:15,0.0,0.0,0.0,0.0,0.0
15,11:30,0.0,0.0,0.0,0.0,0.0
16,11:45,0.0,0.0,0.0,0.0,0.0
17,12:00,0.0,0.0,0.0,0.0,0.0
18,12:15,0.0,0.0,0.0,0.0,0.0
19,12:30,0.0,0.0,0.0,0.0,0.0
20,12:45,0.0,0.0,0.0,0.0,0.0
21,13:00,0.0,0.0,0.0,0.0,0.0
22,13:15,0.0,0.0,0.0,0.0,0.0
23,13:30,0.0,0.0,0.0,0.0,0.0
24,13:45,0.0,0.0,0.0,0.0,0.0
25,14:00,0.0,0.0,0.0,0.0,0.0
26,14:15,0.0,0.0,0.0,0.0,0.0
27,14:30,0.0,0.0,0.0,0.0,0.0
28,14:45,0.0,0.0,0.0,0.0,0.0
29,15:00,0.0,0.0,0.0,0.0,0.0
30,15:15,0.0,0.0,0.0,0.0,0.0
31,15:30,0.0,0.0,0.0,0.0,0.0
32,15:45,0.0,0.0,0.0,0.0,0.0
33,16:00,0.0,0.0,0.0,0.0,0.0
34,16:15,0.0,0.0,0.0,0.0,0.0
35,16:30,0.0,0.0,0.0,0.0,0.0
36,16:45,0.0,0.0,0.0,0.0,0.0
37,17:00,0.0,0.0,0.0,0.0,0.0
38,17:15,0.0,0.0,0.0,0.0,0.0
39,17:30,0.0,0.0,0.0,0.0,0.0
40,17:45,0.0,0.0,0.0,0.0,0.0
