Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Total_Work_Power_kW
1,08:00,08:15,4.79,4.79
2,08:15,08:30,4.79,4.79
3,08:30,08:45,4.79,4.79
4,08:45,09:00,4.79,4.79
5,09:00,09:15,0.0,0.0
6,09:15,09:30,4.71,4.71
7,09:30,09:45,4.79,4.79
8,09:45,10:00,4.79,4.79
9,10:00,10:15,4.79,4.79
10,10:15,10:30,0.0,0.0
11,10:30,10:45,4.79,4.79
12,10:45,11:00,0.0,0.0
13,11:00,11:15,4.71,4.71
14,11:15,11:30,4.79,4.79
15,11:30,11:45,4.79,4.79
16,11:45,12:00,4.79,4.79
17,12:00,12:15,0.0,0.0
18,12:15,12:30,0.0,0.0
19,12:30,12:45,0.0,0.0
20,12:45,13:00,0.0,0.0
21,13:00,13:15,0.0,0.0
22,13:15,13:30,0.0,0.0
23,13:30,13:45,0.0,0.0
24,13:45,14:00,0.0,0.0
25,14:00,14:15,4.79,4.79
26,14:15,14:30,4.71,4.71
27,14:30,14:45,3.16,3.16
28,14:45,15:00,3.16,3.16
29,15:00,15:15,0.0,0.0
30,15:15,15:30,3.16,3.16
31,15:30,15:45,3.16,3.16
32,15:45,16:00,4.71,4.71
33,16:00,16:15,0.0,0.0
34,16:15,16:30,3.16,3.16
35,16:30,16:45,3.16,3.16
36,16:45,17:00,0.0,0.0
37,17:00,17:15,0.0,0.0
38,17:15,17:30,0.0,0.0
39,17:30,17:45,0.0,0.0
40,17:45,18:00,0.0,0.0
