Time_Period,Clock,Site_2_approach0_kW,Site_2_shrinking_kW,Site_2_receding_kW
1,08:00,4.760693692439534,4.760693692439534,4.760693692439534
2,08:15,4.9810763676878755,4.9810763676878755,4.9810763676878755
3,08:30,3.05183360384926,4.6357027255140295,4.6357027255140295
4,08:45,4.6357027255140295,4.519238575148876,4.519238575148876
5,09:00,0.0,0.0,0.0
6,09:15,5.137366034092094,5.137366034092094,5.137366034092094
7,09:30,4.519238575148876,4.342976006920489,4.342976006920489
8,09:45,4.342976006920489,4.998743798075536,4.998743798075536
9,10:00,3.1102972591682874,4.956110387612082,4.956110387612082
10,10:15,0.0,0.0,0.0
11,10:30,3.0938255539407105,3.05183360384926,4.774919865237234
12,10:45,4.495908945044818,4.495908945044818,4.495908945044818
13,11:00,3.1780075517237742,4.774919865237234,4.839741852408826
14,11:15,0.0,4.839741852408826,0.0
15,11:30,0.0,0.0,4.660967140678288
16,11:45,4.998743798075536,3.1102972591682874,4.866358023531473
17,12:00,0.0,0.0,0.0
18,12:15,0.0,0.0,0.0
19,12:30,0.0,0.0,0.0
20,12:45,0.0,0.0,0.0
21,13:00,0.0,0.0,0.0
22,13:15,0.0,0.0,0.0
23,13:30,0.0,0.0,0.0
24,13:45,0.0,0.0,0.0
25,14:00,4.956110387612082,0.0,5.211089464613977
26,14:15,4.774919865237234,4.660967140678288,4.751662954550429
27,14:30,0.0,4.751662954550429,3.05183360384926
28,14:45,4.751662954550429,4.866358023531473,3.1102972591682874
29,15:00,4.839741852408826,5.211089464613977,0.0
30,15:15,4.660967140678288,0.0,3.0938255539407105
31,15:30,4.866358023531473,3.0938255539407105,3.1780075517237742
32,15:45,0.0,3.1780075517237742,4.7650031817204415
33,16:00,3.561540135726792,0.0,3.561540135726792
34,16:15,4.7650031817204415,4.7650031817204415,0.0
35,16:30,3.2908575606978063,3.561540135726792,0.0
36,16:45,5.211089464613977,3.2908575606978063,3.2908575606978063
37,17:00,0.0,0.0,0.0
38,17:15,0.0,0.0,0.0
39,17:30,0.0,0.0,0.0
40,17:45,0.0,0.0,0.0
41,18:00,0.0,0.0,0.0
42,18:15,0.0,0.0,0.0
43,18:30,0.0,0.0,0.0
44,18:45,0.0,0.0,0.0
45,19:00,0.0,0.0,0.0
46,19:15,0.0,0.0,0.0
47,19:30,0.0,0.0,0.0
48,19:45,0.0,0.0,0.0
49,20:00,0.0,0.0,0.0
50,20:15,0.0,0.0,0.0
51,20:30,0.0,0.0,0.0
52,20:45,0.0,0.0,0.0
53,21:00,0.0,0.0,0.0
54,21:15,0.0,0.0,0.0
55,21:30,0.0,0.0,0.0
56,21:45,0.0,0.0,0.0
57,22:00,0.0,0.0,0.0
58,22:15,0.0,0.0,0.0
59,22:30,0.0,0.0,0.0
60,22:45,0.0,0.0,0.0
61,23:00,0.0,0.0,0.0
62,23:15,0.0,0.0,0.0
63,23:30,0.0,0.0,0.0
64,23:45,0.0,0.0,0.0
65,00:00,0.0,0.0,0.0
66,00:15,0.0,0.0,0.0
67,00:30,0.0,0.0,0.0
68,00:45,0.0,0.0,0.0
69,01:00,0.0,0.0,0.0
70,01:15,0.0,0.0,0.0
71,01:30,0.0,0.0,0.0
72,01:45,0.0,0.0,0.0
73,02:00,0.0,0.0,0.0
74,02:15,0.0,0.0,0.0
75,02:30,0.0,0.0,0.0
76,02:45,0.0,0.0,0.0
77,03:00,0.0,0.0,0.0
78,03:15,0.0,0.0,0.0
79,03:30,0.0,0.0,0.0
80,03:45,0.0,0.0,0.0
81,04:00,0.0,0.0,0.0
82,04:15,0.0,0.0,0.0
83,04:30,0.0,0.0,0.0
84,04:45,0.0,0.0,0.0
85,05:00,0.0,0.0,0.0
86,05:15,0.0,0.0,0.0
87,05:30,0.0,0.0,0.0
88,05:45,0.0,0.0,0.0
89,06:00,0.0,0.0,0.0
90,06:15,0.0,0.0,0.0
91,06:30,0.0,0.0,0.0
92,06:45,0.0,0.0,0.0
93,07:00,0.0,0.0,0.0
94,07:15,0.0,0.0,0.0
95,07:30,0.0,0.0,0.0
96,07:45,0.0,0.0,0.0
