Time_Period,Clock,Site_2_approach0_kW,Site_2_shrinking_kW,Site_2_receding_kW
1,08:00,4.757921592968756,4.757921592968756,4.757921592968756
2,08:15,3.0550022247471036,4.986092804773909,4.986092804773909
3,08:30,3.1144104182300594,4.628513324574008,4.628513324574008
4,08:45,4.986092804773909,0.0,4.5079332186708125
5,09:00,0.0,4.5079332186708125,0.0
6,09:15,5.128597660418049,5.128597660418049,5.128597660418049
7,09:30,4.628513324574008,4.325441361072484,4.325441361072484
8,09:45,4.5079332186708125,5.004384619212103,5.004384619212103
9,10:00,4.325441361072484,0.0,4.960244502853723
10,10:15,0.0,4.960244502853723,0.0
11,10:30,3.0976725963163543,4.7726505324506965,4.7726505324506965
12,10:45,4.486640474887629,4.486640474887629,4.486640474887629
13,11:00,3.1832146375176404,4.839763391244579,4.839763391244579
14,11:15,0.0,0.0,4.654670608566869
15,11:30,3.5729435696744676,4.654670608566869,0.0
16,11:45,0.0,4.867320203556727,3.0550022247471036
17,12:00,0.0,0.0,0.0
18,12:15,0.0,0.0,0.0
19,12:30,0.0,0.0,0.0
20,12:45,0.0,0.0,0.0
21,13:00,0.0,0.0,0.0
22,13:15,0.0,0.0,0.0
23,13:30,0.0,0.0,0.0
24,13:45,0.0,0.0,0.0
25,14:00,5.004384619212103,5.224234786658573,4.867320203556727
26,14:15,4.960244502853723,4.742593876812293,4.742593876812293
27,14:30,4.742593876812293,3.0550022247471036,3.1144104182300594
28,14:45,4.7726505324506965,0.0,5.224234786658573
29,15:00,0.0,0.0,0.0
30,15:15,4.839763391244579,3.1144104182300594,3.0976725963163543
31,15:30,4.654670608566869,3.0976725963163543,0.0
32,15:45,3.297887849979275,0.0,3.1832146375176404
33,16:00,0.0,3.1832146375176404,4.755944504367313
34,16:15,4.755944504367313,4.755944504367313,3.5729435696744676
35,16:30,4.867320203556727,3.5729435696744676,0.0
36,16:45,5.224234786658573,3.297887849979275,3.297887849979275
37,17:00,0.0,0.0,0.0
38,17:15,0.0,0.0,0.0
39,17:30,0.0,0.0,0.0
40,17:45,0.0,0.0,0.0
41,18:00,0.0,0.0,0.0
42,18:15,0.0,0.0,0.0
43,18:30,0.0,0.0,0.0
44,18:45,0.0,0.0,0.0
45,19:00,0.0,0.0,0.0
46,19:15,0.0,0.0,0.0
47,19:30,0.0,0.0,0.0
48,19:45,0.0,0.0,0.0
49,20:00,0.0,0.0,0.0
50,20:15,0.0,0.0,0.0
51,20:30,0.0,0.0,0.0
52,20:45,0.0,0.0,0.0
53,21:00,0.0,0.0,0.0
54,21:15,0.0,0.0,0.0
55,21:30,0.0,0.0,0.0
56,21:45,0.0,0.0,0.0
57,22:00,0.0,0.0,0.0
58,22:15,0.0,0.0,0.0
59,22:30,0.0,0.0,0.0
60,22:45,0.0,0.0,0.0
61,23:00,0.0,0.0,0.0
62,23:15,0.0,0.0,0.0
63,23:30,0.0,0.0,0.0
64,23:45,0.0,0.0,0.0
65,00:00,0.0,0.0,0.0
66,00:15,0.0,0.0,0.0
67,00:30,0.0,0.0,0.0
68,00:45,0.0,0.0,0.0
69,01:00,0.0,0.0,0.0
70,01:15,0.0,0.0,0.0
71,01:30,0.0,0.0,0.0
72,01:45,0.0,0.0,0.0
73,02:00,0.0,0.0,0.0
74,02:15,0.0,0.0,0.0
75,02:30,0.0,0.0,0.0
76,02:45,0.0,0.0,0.0
77,03:00,0.0,0.0,0.0
78,03:15,0.0,0.0,0.0
79,03:30,0.0,0.0,0.0
80,03:45,0.0,0.0,0.0
81,04:00,0.0,0.0,0.0
82,04:15,0.0,0.0,0.0
83,04:30,0.0,0.0,0.0
84,04:45,0.0,0.0,0.0
85,05:00,0.0,0.0,0.0
86,05:15,0.0,0.0,0.0
87,05:30,0.0,0.0,0.0
88,05:45,0.0,0.0,0.0
89,06:00,0.0,0.0,0.0
90,06:15,0.0,0.0,0.0
91,06:30,0.0,0.0,0.0
92,06:45,0.0,0.0,0.0
93,07:00,0.0,0.0,0.0
94,07:15,0.0,0.0,0.0
95,07:30,0.0,0.0,0.0
96,07:45,0.0,0.0,0.0
