time,lambda_buy,intensity_tons_emissions
8:15,0.18,0.3
8:30,0.18,0.3
8:45,0.18,0.3
9:00,0.18,0.3
9:15,0.18,0.3
9:30,0.18,0.3
9:45,0.18,0.3
10:00,0.18,0.3
10:15,0.18,0.3
10:30,0.18,0.3
10:45,0.18,0.3
11:00,0.18,0.3
11:15,0.18,0.3
11:30,0.18,0.3
11:45,0.18,0.3
12:00,0.18,0.3
12:15,0.18,0.3
12:30,0.18,0.3
12:45,0.18,0.3
13:00,0.18,0.3
13:15,0.18,0.3
13:30,0.18,0.3
13:45,0.18,0.3
14:00,0.18,0.3
14:15,0.18,0.3
14:30,0.18,0.3
14:45,0.18,0.3
15:00,0.18,0.3
15:15,0.18,0.3
15:30,0.18,0.3
15:45,0.18,0.3
16:00,0.45,0.3
16:15,0.45,0.3
16:30,0.45,0.3
16:45,0.45,0.3
17:00,0.45,0.3
17:15,0.45,0.3
17:30,0.45,0.3
17:45,0.45,0.3
18:00,0.45,0.3
18:15,0.45,0.3
18:30,0.45,0.3
18:45,0.45,0.3
19:00,0.45,0.3
19:15,0.45,0.3
19:30,0.45,0.3
19:45,0.45,0.3
20:00,0.45,0.3
