activity,power_kW
p_digging,5.4411
p_digging,4.7425
p_digging,4.8905
p_digging,5.2098
p_digging,4.2026
p_digging,4.4919
p_digging,5.3659
p_digging,4.9351
p_digging,4.7809
p_digging,4.78
p_digging,5.3389
p_digging,4.2582
p_digging,3.4832
p_digging,4.6773
p_digging,4.2907
p_digging,4.5629
p_digging,4.9634
p_digging,5.1226
p_digging,4.7653
p_digging,4.8277
p_digging,4.8544
p_digging,4.7843
p_loading_swinging,5.8726
p_loading_swinging,3.0868
p_loading_swinging,3.203
p_loading_swinging,3.7658
p_loading_swinging,2.6102
p_loading_swinging,2.9596
p_loading_swinging,4.1586
p_loading_swinging,3.4369
p_loading_swinging,3.8487
p_loading_swinging,2.2701
p_loading_swinging,2.5796
p_loading_swinging,3.9497
p_loading_swinging,2.9903
p_loading_swinging,4.3319
p_loading_swinging,3.0004
p_loading_swinging,2.4555
p_loading_swinging,2.9366
p_loading_swinging,2.4016
p_loading_swinging,2.8
p_loading_swinging,3.4034
p_loading_swinging,3.4361
p_loading_swinging,2.2047
p_loading_swinging,3.7992
p_loading_swinging,3.2655
p_loading_swinging,3.1344
p_traveling,5.3956
p_traveling,4.617
p_traveling,4.6483
p_traveling,6.1076
p_traveling,4.5117
p_traveling,4.6066
p_traveling,5.0591
p_traveling,4.7093
p_traveling,4.7305
p_traveling,4.486
p_traveling,4.6083
p_traveling,4.6559
p_traveling,4.5506
p_traveling,4.7746
p_traveling,4.5726
p_traveling,4.2765
p_traveling,4.6176
p_traveling,4.4502
p_traveling,4.1464
p_traveling,4.7175
p_traveling,4.7095
p_traveling,3.7534
p_traveling,5.3364
p_traveling,5.1579
p_traveling,4.5721
p_idling,0.4689
p_idling,0.0
p_idling,0.061
p_idling,0.4879
p_idling,0.0
p_idling,0.0
p_idling,0.2481
p_idling,0.0264
p_idling,0.0
p_idling,0.0
p_idling,0.1325
p_idling,0.0
p_idling,0.5059
p_idling,0.0
p_idling,0.0
p_idling,0.0
p_idling,0.0
p_idling,0.0
p_idling,0.2629
p_idling,0.0262
p_idling,0.0
p_idling,1.3131
p_idling,0.7188
p_idling,0.0
